timestamp,task_name,name,index,clocks.current.graphics [MHz],cpu_usage,dram_usage,temperature.memory,clocks.current.sm [MHz],utilization.gpu [%],power.draw [W],pcie.link.gen.current,cpu_power,dram_power,pcie.link.width.current,temperature.gpu,clocks.current.memory [MHz],utilization.memory [%]
2025-10-19 07:30:39.0,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,71,1410 MHz,50 %,157.91 W,4,13.50 W (freq-based estimate),326.38 W (est),16,65,1512 MHz,10 %
2025-10-19 07:30:40.3,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,72,1395 MHz,50 %,266.83 W,4,13.50 W (freq-based estimate),326.38 W (est),16,66,1512 MHz,10 %
2025-10-19 07:30:41.6,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,71,1410 MHz,49 %,155.37 W,4,13.50 W (freq-based estimate),326.38 W (est),16,65,1512 MHz,10 %
2025-10-19 07:30:42.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,72,1395 MHz,49 %,218.79 W,4,13.50 W (freq-based estimate),326.38 W (est),16,65,1512 MHz,10 %
2025-10-19 07:30:44.2,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,72,1410 MHz,49 %,156.44 W,4,13.50 W (freq-based estimate),326.38 W (est),16,65,1512 MHz,10 %
2025-10-19 07:30:45.6,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,72,1410 MHz,49 %,145.74 W,4,13.50 W (freq-based estimate),326.38 W (est),16,66,1512 MHz,10 %
2025-10-19 07:30:46.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,72,1410 MHz,49 %,329.45 W,4,13.50 W (freq-based estimate),326.38 W (est),16,66,1512 MHz,9 %
2025-10-19 07:30:48.2,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,72,1410 MHz,48 %,307.94 W,4,13.50 W (freq-based estimate),326.38 W (est),16,64,1512 MHz,9 %
2025-10-19 07:30:49.5,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,71,1410 MHz,49 %,146.36 W,4,13.50 W (freq-based estimate),326.38 W (est),16,64,1512 MHz,10 %
2025-10-19 07:30:50.8,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,72,1395 MHz,49 %,314.92 W,4,13.50 W (freq-based estimate),326.38 W (est),16,65,1512 MHz,10 %
2025-10-19 07:30:52.1,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,70,1410 MHz,49 %,145.32 W,4,13.50 W (freq-based estimate),326.38 W (est),16,64,1512 MHz,10 %
2025-10-19 07:30:53.4,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,70,1395 MHz,50 %,312.33 W,4,13.50 W (freq-based estimate),326.38 W (est),16,66,1512 MHz,10 %
