timestamp,task_name,name,index,clocks.current.graphics [MHz],cpu_usage,dram_usage,temperature.memory,clocks.current.sm [MHz],utilization.gpu [%],power.draw [W],pcie.link.gen.current,cpu_power,dram_power,pcie.link.width.current,temperature.gpu,clocks.current.memory [MHz],utilization.memory [%]
2025-10-19 07:25:46.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.0 %,74,1395 MHz,26 %,174.09 W,4,13.50 W (freq-based estimate),326.16 W (est),16,69,1512 MHz,6 %
2025-10-19 07:25:48.0,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,73,1410 MHz,27 %,131.12 W,4,13.50 W (freq-based estimate),326.16 W (est),16,68,1512 MHz,6 %
2025-10-19 07:25:49.3,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,72,1410 MHz,25 %,133.68 W,4,13.50 W (freq-based estimate),326.16 W (est),16,66,1512 MHz,5 %
2025-10-19 07:25:50.6,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,73,1410 MHz,46 %,126.84 W,4,13.50 W (freq-based estimate),326.16 W (est),16,66,1512 MHz,10 %
2025-10-19 07:25:52.0,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.0 %,73,1395 MHz,26 %,138.13 W,4,13.50 W (freq-based estimate),326.16 W (est),16,67,1512 MHz,6 %
2025-10-19 07:25:53.3,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,73,1410 MHz,46 %,294.19 W,4,13.50 W (freq-based estimate),326.16 W (est),16,68,1512 MHz,10 %
2025-10-19 07:25:54.6,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,73,1410 MHz,46 %,137.36 W,4,13.50 W (freq-based estimate),326.16 W (est),16,66,1512 MHz,10 %
2025-10-19 07:25:55.9,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,73,1410 MHz,28 %,128.04 W,4,13.50 W (freq-based estimate),326.16 W (est),16,66,1512 MHz,6 %
2025-10-19 07:25:57.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.0 %,73,1395 MHz,27 %,296.14 W,4,13.50 W (freq-based estimate),326.16 W (est),16,66,1512 MHz,6 %
2025-10-19 07:25:58.5,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,72,1410 MHz,46 %,132.66 W,4,13.50 W (freq-based estimate),326.16 W (est),16,67,1512 MHz,11 %
2025-10-19 07:25:59.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,72,1410 MHz,46 %,130.47 W,4,13.50 W (freq-based estimate),326.16 W (est),16,67,1512 MHz,10 %
2025-10-19 07:26:01.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,71,1410 MHz,46 %,131.13 W,4,13.50 W (freq-based estimate),326.16 W (est),16,65,1512 MHz,10 %
2025-10-19 07:26:02.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,72,1410 MHz,27 %,134.15 W,4,13.50 W (freq-based estimate),326.16 W (est),16,65,1512 MHz,6 %
