timestamp,task_name,name,index,power.draw [W],temperature.gpu,dram_power,clocks.current.graphics [MHz],clocks.current.memory [MHz],dram_usage,pcie.link.width.current,clocks.current.sm [MHz],cpu_usage,cpu_power,temperature.memory,utilization.memory [%],utilization.gpu [%],pcie.link.gen.current
2025-10-22 15:25:50.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,274.88 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,16 %,84 %,4
2025-10-22 15:25:51.3,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,243.46 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,16 %,80 %,4
2025-10-22 15:25:52.6,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,262.23 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,16 %,81 %,4
2025-10-22 15:25:54.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,283.65 W,57,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,16 %,84 %,4
2025-10-22 15:25:55.3,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,197.99 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,16 %,81 %,4
2025-10-22 15:25:56.6,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,216.44 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,16 %,80 %,4
2025-10-22 15:25:57.9,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,288.02 W,57,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,15 %,82 %,4
2025-10-22 15:25:59.2,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,240.59 W,57,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,15 %,81 %,4
2025-10-22 15:26:00.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,274.88 W,57,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,16 %,84 %,4
2025-10-22 15:26:01.8,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,293.64 W,57,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,15 %,79 %,4
2025-10-22 15:26:03.1,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,286.88 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,14 %,75 %,4
2025-10-22 15:26:04.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,219.12 W,57,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,16 %,80 %,4
2025-10-22 15:26:05.8,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,288.94 W,57,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,16 %,84 %,4
2025-10-22 15:26:07.1,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,235.30 W,58,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,16 %,78 %,4
2025-10-22 15:26:08.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,274.56 W,58,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,16 %,84 %,4
2025-10-22 15:26:09.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,233.20 W,58,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,16 %,80 %,4
2025-10-22 15:26:11.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,280.98 W,58,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),50,16 %,84 %,4
2025-10-22 15:26:12.3,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,230.61 W,58,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),49,16 %,80 %,4
2025-10-22 15:26:13.9,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,88.34 W,49,251.16 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),46,0 %,0 %,4
2025-10-22 15:26:15.2,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,116.74 W,50,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),46,9 %,42 %,4
2025-10-22 15:26:16.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,118.48 W,49,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),46,8 %,27 %,4
2025-10-22 15:26:17.9,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,124.92 W,49,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),46,10 %,42 %,4
2025-10-22 15:26:19.2,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,120.55 W,48,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),45,8 %,32 %,4
2025-10-22 15:26:20.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,109.97 W,47,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),44,5 %,16 %,4
2025-10-22 15:26:21.9,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,85.11 W,46,251.32 W (est),1140 MHz,1215 MHz,1.4 %,16,1140 MHz,0.0 %,13.50 W (freq-based estimate),44,7 %,38 %,4
2025-10-22 15:26:23.2,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,86.50 W,46,251.32 W (est),1245 MHz,1215 MHz,1.4 %,16,1245 MHz,0.0 %,13.50 W (freq-based estimate),44,7 %,40 %,4
2025-10-22 15:26:24.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,229.74 W,48,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),44,8 %,27 %,4
2025-10-22 15:26:25.9,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,232.96 W,48,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),44,9 %,41 %,4
2025-10-22 15:26:27.2,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,125.25 W,49,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),44,8 %,26 %,4
2025-10-22 15:26:28.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,147.84 W,47,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),44,8 %,28 %,4
2025-10-22 15:26:29.8,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,225.28 W,48,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,40 %,4
2025-10-22 15:26:31.1,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,164.82 W,48,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),44,8 %,27 %,4
2025-10-22 15:26:32.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,188.28 W,48,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),44,9 %,41 %,4
2025-10-22 15:26:33.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,111.44 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,5 %,17 %,4
2025-10-22 15:26:35.1,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,131.41 W,48,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,30 %,4
2025-10-22 15:26:36.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,113.19 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,8 %,28 %,4
2025-10-22 15:26:37.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,225.55 W,47,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,34 %,4
2025-10-22 15:26:39.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,240.59 W,47,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,8 %,26 %,4
2025-10-22 15:26:40.3,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,286.27 W,47,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,42 %,4
