timestamp,task_name,name,index,power.draw [W],temperature.gpu,dram_power,clocks.current.graphics [MHz],clocks.current.memory [MHz],dram_usage,pcie.link.width.current,clocks.current.sm [MHz],cpu_usage,cpu_power,temperature.memory,utilization.memory [%],utilization.gpu [%],pcie.link.gen.current
2025-10-22 15:20:00.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,92.40 W,45,251.16 W (est),1365 MHz,1215 MHz,1.3 %,16,1365 MHz,0.0 %,13.50 W (freq-based estimate),44,5 %,20 %,4
2025-10-22 15:20:01.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,93.54 W,45,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,5 %,20 %,4
2025-10-22 15:20:03.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,97.64 W,45,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,11 %,41 %,4
2025-10-22 15:20:04.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,102.65 W,46,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,11 %,40 %,4
2025-10-22 15:20:05.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,175.49 W,45,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,5 %,20 %,4
2025-10-22 15:20:07.2,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,100.31 W,44,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,5 %,20 %,4
2025-10-22 15:20:08.5,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,101.45 W,45,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,11 %,41 %,4
2025-10-22 15:20:09.8,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,207.17 W,46,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,5 %,20 %,4
2025-10-22 15:20:11.1,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,98.56 W,44,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,11 %,41 %,4
2025-10-22 15:20:12.4,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,97.64 W,44,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,11 %,41 %,4
2025-10-22 15:20:13.7,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,95.88 W,44,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,11 %,41 %,4
2025-10-22 15:20:15.0,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,97.64 W,44,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,5 %,20 %,4
2025-10-22 15:20:16.4,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,225.32 W,45,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,5 %,20 %,4
2025-10-22 15:20:17.7,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,103.26 W,43,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,9 %,35 %,4
2025-10-22 15:20:19.0,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,102.06 W,43,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,9 %,36 %,4
2025-10-22 15:20:20.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,102.55 W,44,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,8 %,29 %,4
2025-10-22 15:20:21.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,99.01 W,44,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,8 %,32 %,4
2025-10-22 15:20:22.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,252.60 W,46,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,5 %,20 %,4
2025-10-22 15:20:24.2,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,102.33 W,43,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,5 %,21 %,4
2025-10-22 15:20:25.5,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,97.36 W,43,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,12 %,41 %,4
2025-10-22 15:20:26.8,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,100.31 W,43,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,12 %,41 %,4
2025-10-22 15:20:28.1,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,100.91 W,43,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,11 %,41 %,4
