timestamp,task_name,name,index,clocks.current.graphics [MHz],clocks.current.memory [MHz],cpu_usage,dram_power,utilization.memory [%],dram_usage,power.draw [W],pcie.link.gen.current,utilization.gpu [%],cpu_power,temperature.gpu,clocks.current.sm [MHz],temperature.memory,pcie.link.width.current
2025-10-19 07:06:18.2,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,290.12 W,4,82 %,13.50 W (freq-based estimate),53,1410 MHz,47,16
2025-10-19 07:06:19.5,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,234.28 W,4,88 %,13.50 W (freq-based estimate),55,1410 MHz,47,16
2025-10-19 07:06:20.8,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,278.94 W,4,89 %,13.50 W (freq-based estimate),55,1410 MHz,47,16
2025-10-19 07:06:22.1,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,265.45 W,4,89 %,13.50 W (freq-based estimate),55,1410 MHz,48,16
2025-10-19 07:06:23.4,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,270.15 W,4,85 %,13.50 W (freq-based estimate),55,1410 MHz,48,16
2025-10-19 07:06:24.7,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,294.24 W,4,84 %,13.50 W (freq-based estimate),55,1410 MHz,48,16
2025-10-19 07:06:26.0,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,260.15 W,4,86 %,13.50 W (freq-based estimate),56,1410 MHz,48,16
2025-10-19 07:06:27.3,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,307.74 W,4,86 %,13.50 W (freq-based estimate),56,1410 MHz,49,16
2025-10-19 07:06:28.6,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,279.82 W,4,89 %,13.50 W (freq-based estimate),56,1410 MHz,49,16
2025-10-19 07:06:29.9,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,197.20 W,4,83 %,13.50 W (freq-based estimate),55,1410 MHz,49,16
2025-10-19 07:06:31.2,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,291.29 W,4,89 %,13.50 W (freq-based estimate),57,1410 MHz,49,16
