timestamp,task_name,name,index,clocks.current.graphics [MHz],clocks.current.memory [MHz],cpu_usage,dram_power,utilization.memory [%],dram_usage,power.draw [W],pcie.link.gen.current,utilization.gpu [%],cpu_power,temperature.gpu,clocks.current.sm [MHz],temperature.memory,pcie.link.width.current
2025-10-19 07:05:00.8,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),5 %,1.2 %,97.29 W,4,19 %,13.50 W (freq-based estimate),40,1410 MHz,38,16
2025-10-19 07:05:02.1,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),5 %,1.2 %,99.31 W,4,19 %,13.50 W (freq-based estimate),40,1410 MHz,39,16
2025-10-19 07:05:03.5,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1365 MHz,1215 MHz,0.0 %,250.99 W (est),5 %,1.2 %,92.59 W,4,19 %,13.50 W (freq-based estimate),41,1365 MHz,39,16
2025-10-19 07:05:04.8,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),10 %,1.2 %,95.04 W,4,35 %,13.50 W (freq-based estimate),40,1410 MHz,39,16
2025-10-19 07:05:06.1,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),6 %,1.2 %,96.96 W,4,23 %,13.50 W (freq-based estimate),41,1410 MHz,39,16
2025-10-19 07:05:07.4,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),7 %,1.2 %,180.01 W,4,28 %,13.50 W (freq-based estimate),42,1410 MHz,39,16
2025-10-19 07:05:08.7,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1305 MHz,1215 MHz,0.0 %,250.99 W (est),8 %,1.2 %,86.68 W,4,32 %,13.50 W (freq-based estimate),39,1305 MHz,38,16
2025-10-19 07:05:10.0,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1395 MHz,1215 MHz,0.0 %,250.99 W (est),6 %,1.2 %,94.70 W,4,21 %,13.50 W (freq-based estimate),40,1395 MHz,39,16
2025-10-19 07:05:11.3,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),6 %,1.2 %,101.12 W,4,22 %,13.50 W (freq-based estimate),41,1410 MHz,39,16
2025-10-19 07:05:12.6,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1230 MHz,1215 MHz,0.0 %,250.99 W (est),5 %,1.2 %,166.63 W,4,19 %,13.50 W (freq-based estimate),41,1230 MHz,40,16
2025-10-19 07:05:13.9,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1380 MHz,1215 MHz,0.0 %,250.99 W (est),11 %,1.2 %,94.94 W,4,40 %,13.50 W (freq-based estimate),40,1380 MHz,38,16
2025-10-19 07:05:15.2,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),11 %,1.2 %,101.12 W,4,40 %,13.50 W (freq-based estimate),40,1410 MHz,38,16
2025-10-19 07:05:16.8,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.66 W (est),0 %,1.0 %,82.39 W,4,0 %,13.50 W (freq-based estimate),39,1410 MHz,37,16
2025-10-19 07:05:18.2,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.66 W (est),0 %,1.0 %,65.24 W,4,0 %,13.50 W (freq-based estimate),37,1095 MHz,37,16
2025-10-19 07:05:19.6,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.66 W (est),0 %,1.0 %,81.38 W,4,0 %,13.50 W (freq-based estimate),38,1410 MHz,36,16
2025-10-19 07:05:20.9,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.66 W (est),0 %,1.0 %,64.70 W,4,0 %,13.50 W (freq-based estimate),37,1095 MHz,36,16
2025-10-19 07:05:22.2,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.37 W,4,0 %,13.50 W (freq-based estimate),37,1095 MHz,36,16
2025-10-19 07:05:23.6,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.43 W,4,0 %,13.50 W (freq-based estimate),37,1095 MHz,36,16
2025-10-19 07:05:24.9,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.43 W,4,0 %,13.50 W (freq-based estimate),37,1095 MHz,36,16
2025-10-19 07:05:26.2,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.43 W,4,0 %,13.50 W (freq-based estimate),37,1095 MHz,36,16
2025-10-19 07:05:27.5,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.37 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,36,16
2025-10-19 07:05:28.8,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.37 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,36,16
2025-10-19 07:05:30.1,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.04 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
2025-10-19 07:05:31.4,workload_flan_t5_small_us-west1,NVIDIA A100-SXM4-40GB,0,1095 MHz,1215 MHz,0.0 %,250.83 W (est),0 %,1.1 %,64.11 W,4,0 %,13.50 W (freq-based estimate),36,1095 MHz,35,16
